Date,Views,Average view duration
2024-02-03,0,0:00:00
2024-02-04,0,0:00:00
2024-02-05,0,
2024-02-06,0,0:00:00
2024-02-07,0,0:00:00
2024-02-08,0,0:00:00
2024-02-09,0,0:00:00
